,protein_id,path_id,main,sub,path,ecpath
0,WP_002805124.1,K02710,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],K02710  psbI; photosystem II PsbI protein
1,WP_002805124.1,K02710,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],K02710  psbI; photosystem II PsbI protein
2,WP_002805169.1,K02110,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
3,WP_002805169.1,K02110,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
4,WP_002805169.1,K02110,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
5,WP_002805854.1,K01601,09100 Metabolism,09101 Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],"K01601  rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]"
6,WP_002805854.1,K01601,09100 Metabolism,09102 Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],"K01601  rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]"
7,WP_002806014.1,K02963,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
8,WP_002806014.1,K02963,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
9,WP_002806486.1,K02970,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
10,WP_002806486.1,K02970,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
11,WP_006043540.1,,,,,
12,WP_007099573.1,K02691,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],K02691  psaC; photosystem I subunit VII
13,WP_007099573.1,K02691,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],K02691  psaC; photosystem I subunit VII
14,WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03030 DNA replication [PATH:ko03030],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
15,WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03430 Mismatch repair [PATH:ko03430],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
16,WP_011131639.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
17,WP_011131639.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
18,WP_011131639.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
19,WP_011131640.1,,,,,
20,WP_011131641.1,K23269,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K23269  purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]
21,WP_011131642.1,K00764,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
