Entry	Entry name	Status	Protein names	Gene names	Cross-reference (KEGG)	Organism	Length	Pathway	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Annotation	Caution	Features	Gene ontology IDs	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Signal peptide	Transit peptide	Cross-reference (Bgee)	Cross-reference (CollecTF)	Cross-reference (BioCyc)	Cross-reference (RefSeq)
Q7V2D5	CHLN_PROMP	reviewed	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)	chlN PMM0545	pmm:PMM0545;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	418	PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis (light-independent). {ECO:0000255|HAMAP-Rule:MF_00352}.	PMM0545	chlN		3 out of 5		Chain (1); Metal binding (3)	GO:0005524; GO:0016636; GO:0016730; GO:0019685; GO:0036068; GO:0046872; GO:0051539	light-independent chlorophyll biosynthetic process [GO:0036068]; photosynthesis, dark reaction [GO:0019685]		4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730]; oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor [GO:0016636]						WP_011132180.1;
Q7V2X8	MINC_PROMP	reviewed	Probable septum site-determining protein MinC	minC PMM0322	pmm:PMM0322;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	220		PMM0322	minC		2 out of 5		Chain (1)	GO:0000902; GO:0000917; GO:1901891	cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell septum assembly [GO:1901891]								WP_011131959.1;
Q7V390	PGK_PROMP	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk PMM0195	pmm:PMM0195;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	402	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 2/5. {ECO:0000255|HAMAP-Rule:MF_00145}.	PMM0195	pgk		3 out of 5		Binding site (6); Chain (1); Nucleotide binding (1); Region (2)	GO:0004618; GO:0005524; GO:0005737; GO:0006096	glycolytic process [GO:0006096]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]						WP_011131834.1;
Q7V0Y7	PDXJ_PROMP	reviewed	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ PMM1107	pmm:PMM1107;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	238	PATHWAY: Cofactor biosynthesis; pyridoxine 5'-phosphate biosynthesis; pyridoxine 5'-phosphate from D-erythrose 4-phosphate: step 5/5. {ECO:0000255|HAMAP-Rule:MF_00279}.	PMM1107	pdxJ		3 out of 5		Active site (3); Binding site (6); Chain (1); Region (2); Site (1)	GO:0005737; GO:0008615; GO:0033856	pyridoxine biosynthetic process [GO:0008615]	cytoplasm [GO:0005737]	pyridoxine 5'-phosphate synthase activity [GO:0033856]						WP_011132740.1;
Q7V2Z3	PHEB_PROMP	reviewed	R-phycoerythrin subunit beta	cpeB PMM0305	pmm:PMM0305;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	175		PMM0305	cpeB		3 out of 5		Binding site (1); Chain (1); Mutagenesis (2)	GO:0015979; GO:0018298; GO:0030089	photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	phycobilisome [GO:0030089]							WP_011131942.1;
Q93SN8	PEBA_PROMP	reviewed	15,16-dihydrobiliverdin:ferredoxin oxidoreductase (EC 1.3.7.2)	pebA PMM1593	pmm:PMM1593;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	236		PMM1593	pebA		2 out of 5		Chain (1); Sequence conflict (1)	GO:0010024; GO:0050617; GO:0050897	phytochromobilin biosynthetic process [GO:0010024]		15,16-dihydrobiliverdin:ferredoxin oxidoreductase activity [GO:0050617]; cobalt ion binding [GO:0050897]						WP_011133221.1;
Q93SN7	PEBB_PROMP	reviewed	Phycoerythrobilin:ferredoxin oxidoreductase (EC 1.3.7.3)	pebB PMM1592	pmm:PMM1592;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	257		PMM1592	pebB		2 out of 5		Chain (1)	GO:0010024; GO:0050618; GO:0050897	phytochromobilin biosynthetic process [GO:0010024]		cobalt ion binding [GO:0050897]; phycoerythrobilin:ferredoxin oxidoreductase activity [GO:0050618]						WP_011133220.1;
Q93TL5	PCYA_PROMP	reviewed	Phycocyanobilin:ferredoxin oxidoreductase (EC 1.3.7.5)	pcyA PMM0747	pmm:PMM0747;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	241		PMM0747	pcyA		2 out of 5		Chain (1)	GO:0010024; GO:0050620; GO:0050897	phytochromobilin biosynthetic process [GO:0010024]		cobalt ion binding [GO:0050897]; phycocyanobilin:ferredoxin oxidoreductase activity [GO:0050620]						WP_011132381.1;
Q7V3E1	PLSX_PROMP	reviewed	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX PMM0135	pmm:PMM0135;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	466	PATHWAY: Lipid metabolism; phospholipid metabolism.	PMM0135	plsX		3 out of 5		Chain (1); Region (2)	GO:0005737; GO:0006633; GO:0008654; GO:0043811	fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]	cytoplasm [GO:0005737]	phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]						WP_011131774.1;
Q7V381	RL11_PROMP	reviewed	50S ribosomal protein L11	rplK rpl11 PMM0204	pmm:PMM0204;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	141		PMM0204	rplK	rpl11	2 out of 5		Chain (1)	GO:0003735; GO:0005840; GO:0006412; GO:0070180	translation [GO:0006412]	ribosome [GO:0005840]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]						WP_011131843.1;
