,protein_id,path_id,main,sub,path,ecpath
0,WP_004588585.1,,,,,
1,WP_006991848.1,,,,,
2,WP_010179497.1,K02946,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
3,WP_010179497.1,K02946,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
4,WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03030 DNA replication [PATH:ko03030],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
5,WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03430 Mismatch repair [PATH:ko03430],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
6,WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
7,WP_012516526.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
8,WP_012516526.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
9,WP_012516568.1,K05501,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K05501  slmA, ttk; TetR/AcrR family transcriptional regulator"
10,WP_012516568.1,K05501,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],"K05501  slmA, ttk; TetR/AcrR family transcriptional regulator"
11,WP_012516577.1,K02913,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
12,WP_012516577.1,K02913,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
13,WP_012516741.1,,,,,
14,WP_012516807.1,,,,,
15,WP_012516820.1,,,,,
16,WP_012516822.1,K15727,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K15727  czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
17,WP_012516825.1,,,,,
18,WP_012516826.1,,,,,
19,WP_012516845.1,,,,,
20,WP_012516846.1,,,,,
21,WP_012516848.1,,,,,
22,WP_012516849.1,,,,,
23,WP_012516859.1,,,,,
24,WP_012516860.1,K04653,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99975 Protein processing,K04653  hypC; hydrogenase expression/formation protein HypC
25,WP_012516863.1,K04654,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99975 Protein processing,K04654  hypD; hydrogenase expression/formation protein HypD
26,WP_012516866.1,,,,,
27,WP_012516868.1,,,,,
28,WP_012516877.1,,,,,
29,WP_012516879.1,,,,,
30,WP_012516888.1,,,,,
31,WP_012516900.1,K07156,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K07156  copC, pcoC; copper resistance protein C"
32,WP_012516902.1,,,,,
33,WP_012516906.1,K13638,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K13638  zntR; MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA"
34,WP_012516909.1,,,,,
35,WP_012516911.1,,,,,
36,WP_012516914.1,,,,,
37,WP_012516916.1,K07233,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,99994 Others,"K07233  pcoB, copB; copper resistance protein B"
38,WP_012516919.1,,,,,
39,WP_012516940.1,K05499,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K05499  cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG"
40,WP_012516958.1,K02926,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
41,WP_012516958.1,K02926,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
42,WP_012516959.1,K02892,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
43,WP_012516959.1,K02892,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
44,WP_012516961.1,K02965,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02965  RP-S19, rpsS; small subunit ribosomal protein S19"
45,WP_012516961.1,K02965,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02965  RP-S19, rpsS; small subunit ribosomal protein S19"
46,WP_012516988.1,K04752,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99973 Transcription,K04752  glnK; nitrogen regulatory protein P-II 2
47,WP_012517074.1,K03671,09150 Organismal Systems,09151 Immune system,04621 NOD-like receptor signaling pathway [PATH:ko04621],K03671  trxA; thioredoxin 1
48,WP_012517074.1,K03671,09160 Human Diseases,09171 Infectious disease: bacterial,05132 Salmonella infection [PATH:ko05132],K03671  trxA; thioredoxin 1
49,WP_012517074.1,K03671,09160 Human Diseases,09164 Neurodegenerative disease,05012 Parkinson disease [PATH:ko05012],K03671  trxA; thioredoxin 1
50,WP_012517074.1,K03671,09160 Human Diseases,09166 Cardiovascular disease,05418 Fluid shear stress and atherosclerosis [PATH:ko05418],K03671  trxA; thioredoxin 1
51,WP_012517074.1,K03671,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03671  trxA; thioredoxin 1
52,WP_012517169.1,K02888,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02888  RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
53,WP_012517169.1,K02888,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02888  RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
54,WP_012517170.1,K02899,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02899  RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
55,WP_012517170.1,K02899,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02899  RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
56,WP_012517256.1,K09117,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09117  K09117; uncharacterized protein
57,WP_012517258.1,K02970,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
58,WP_012517258.1,K02970,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
59,WP_012517276.1,,,,,
60,WP_012517279.1,K03561,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K03561  exbB; biopolymer transport protein ExbB
61,WP_012517332.1,K03599,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],"K03599  sspA, mglA; stringent starvation protein A"
62,WP_012517332.1,K03599,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03599  sspA, mglA; stringent starvation protein A"
63,WP_012517338.1,K05808,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K05808  yhbH; putative sigma-54 modulation protein
64,WP_012517351.1,,,,,
65,WP_012517538.1,K07738,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],K07738  nrdR; transcriptional repressor NrdR
66,WP_012517627.1,K02388,09140 Cellular Processes,09142 Cell motility,02040 Flagellar assembly [PATH:ko02040],K02388  flgC; flagellar basal-body rod protein FlgC
67,WP_012517627.1,K02388,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035],K02388  flgC; flagellar basal-body rod protein FlgC
68,WP_012517628.1,K02389,09140 Cellular Processes,09142 Cell motility,02040 Flagellar assembly [PATH:ko02040],K02389  flgD; flagellar basal-body rod modification protein FlgD
69,WP_012517628.1,K02389,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035],K02389  flgD; flagellar basal-body rod modification protein FlgD
