"locus_tag","type","gene","gene_biotype","old_locus_tag","product","protein_id"
"ACZ81_RS00010","gene","dnaN","protein_coding","ACZ81_00010","DNA polymerase III subunit beta","WP_012516526.1"
"ACZ81_RS00015","gene","recF","protein_coding","ACZ81_00015","DNA replication/repair protein RecF","WP_061438857.1"
"ACZ81_RS00020","gene","gyrB","protein_coding","ACZ81_00020","DNA topoisomerase (ATP-hydrolyzing) subunit B","WP_014977848.1"
"ACZ81_RS00025","gene",NA,"protein_coding","ACZ81_00025","hypothetical protein","WP_039234509.1"
"ACZ81_RS00030","gene","glyS","protein_coding","ACZ81_00030","glycine--tRNA ligase subunit beta","WP_061438859.1"
"ACZ81_RS00035","gene","glyQ","protein_coding","ACZ81_00035","glycine--tRNA ligase subunit alpha","WP_014947716.1"
"ACZ81_RS00040","gene",NA,"protein_coding","ACZ81_00040","DNA-3-methyladenine glycosylase I","WP_080986385.1"
"ACZ81_RS00045","gene",NA,"protein_coding","ACZ81_00045","DUF2489 domain-containing protein","WP_049586362.1"
"ACZ81_RS00050","gene","yihI","protein_coding","ACZ81_00050","Der GTPase-activating protein YihI","WP_014947719.1"
"ACZ81_RS00055","gene",NA,"protein_coding","ACZ81_00055","class I SAM-dependent methyltransferase","WP_080986387.1"
"ACZ81_RS00060","gene",NA,"protein_coding","ACZ81_00060","cytochrome c4","WP_014947721.1"
"ACZ81_RS00065","gene","yihA","protein_coding","ACZ81_00065","ribosome biogenesis GTP-binding protein YihA/YsxC","WP_014975249.1"
"ACZ81_RS00070","gene","polA","protein_coding","ACZ81_00070","DNA polymerase I","WP_061438861.1"
"ACZ81_RS00075","gene","elbB","protein_coding","ACZ81_00075","isoprenoid biosynthesis glyoxalase ElbB","WP_061438863.1"
"ACZ81_RS00080","gene",NA,"protein_coding","ACZ81_00080","TrkH family potassium uptake protein","WP_014947725.1"
"ACZ81_RS00085","gene","trkA","protein_coding","ACZ81_00085","Trk system potassium transporter TrkA","WP_014947726.1"
"ACZ81_RS00090","gene","rsmB","protein_coding","ACZ81_00090","16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB","WP_061438869.1"
"ACZ81_RS00095","gene","fmt","protein_coding","ACZ81_00095","methionyl-tRNA formyltransferase","WP_061438871.1"
"ACZ81_RS00100","gene","def","protein_coding","ACZ81_00100","peptide deformylase","WP_014947729.1"
"ACZ81_RS00105","gene",NA,"protein_coding","ACZ81_00105","LysM peptidoglycan-binding domain-containing protein","WP_232376028.1"
"ACZ81_RS00110","gene","dprA","protein_coding","ACZ81_00110","DNA-processing protein DprA","WP_014975255.1"
"ACZ81_RS00115","gene",NA,"protein_coding","ACZ81_00115","DUF494 family protein","WP_014947732.1"
"ACZ81_RS00120","gene",NA,"protein_coding","ACZ81_00120","topoisomerase DNA-binding C4 zinc finger domain-containing protein","WP_014975256.1"
"ACZ81_RS00125","gene",NA,"protein_coding","ACZ81_00125","Sua5/YciO/YrdC/YwlC family protein","WP_014975257.1"
